ym,slope,n,influence,gamma_without_month
2009-01,0.2330415589791881,4030,0.0001102997096091192,-0.011837188224062031
2009-02,0.33813505987733444,4013,0.0005903764316383623,-0.012317264946091274
2009-03,-0.6285303634052586,3997,-0.0006557379206528283,-0.011071150593800084
2009-04,-0.0105027108894359,3979,-0.0010214639868716558,-0.010705424527581256
2009-05,0.06204596597552617,3960,-0.0017179121698371342,-0.010008976344615778
2009-06,-0.2890966122510974,3938,0.00010233899816726455,-0.011829227512620177
2009-07,-0.06618182435304731,3920,-0.0004420438517101898,-0.011284844662742722
2009-08,0.19066190732489363,3903,0.0005229189443880164,-0.012249807458840929
2009-09,-0.16071316998713484,3890,-0.0008123042955382742,-0.010914584218914638
2009-10,-0.10336572501413457,3864,-0.0003178253039085432,-0.011409063210544369
2009-11,0.07839598811809223,3831,0.0004515906669805281,-0.01217847918143344
2009-12,0.1417704854067085,3811,0.00034803342884759045,-0.012074921943300503
2010-01,-0.1890858589955738,3791,-0.0005627992504507878,-0.011164089264002124
2010-02,-0.1307054518834531,3771,-0.0006785004548969815,-0.01104838805955593
2010-03,-0.08410559338430024,3748,-0.0005752820170346236,-0.011151606497418289
2010-04,-0.05414996481140848,3723,-0.0002637380043397867,-0.011463150510113125
2010-05,-0.05678548741432724,3713,8.7209928416156e-05,-0.011814098442869068
2010-06,0.1071177158349884,3703,0.0004944919484019157,-0.012221380462854828
2010-07,-0.11945591039577518,3664,-6.269809067642115e-05,-0.011664190423776491
2010-08,-0.00019957298727836512,3652,-5.129701403672887e-05,-0.011675591500416183
2010-09,-0.04329748069201255,3637,-0.00010877780909685462,-0.011618110705356057
2010-10,0.08754745847571473,3621,0.00044860590690171294,-0.012175494421354625
2010-11,-0.041404655244569155,3609,-5.480438589412773e-05,-0.011672084128558784
2010-12,-0.043994276615012956,3588,-3.918977617027586e-06,-0.011722969536835885
2011-01,0.025347305228338265,3578,0.00018764342370903957,-0.011914531938161952
2011-02,-0.08341754630935609,3571,-0.0003388940820822327,-0.01138799443237068
2011-03,-0.13937939886101364,3562,-0.00046215144976089265,-0.01126473706469202
2011-04,0.05334874976713416,3545,0.00038502484651871047,-0.012111913360971623
2011-05,-0.24349176653266852,3535,-0.0008701128996705648,-0.010856775614782347
2011-06,-0.00016026901214922322,3517,-9.255948448934695e-05,-0.011634329029963565
2011-07,-0.16530423225817542,3506,-0.00043385350326210353,-0.011293035011190809
2011-08,0.0779694901768257,3511,7.011819777361615e-05,-0.011797006712226528
2011-09,-0.08444042369627532,3508,-4.2830344793100966e-05,-0.011684058169659811
2011-10,-0.06914700569512618,3495,-0.00029254886357088505,-0.011434339650882027
2011-11,0.002849999285487192,3480,0.00011441349129289423,-0.011841302005745806
2011-12,0.009418567709898316,3474,9.603023422343794e-05,-0.01182291874867635
2012-01,-0.018471732549563177,3467,-7.602988042880975e-05,-0.011650858634024102
2012-02,0.06167397807148928,3460,0.0007299325749391544,-0.012456821089392067
2012-03,0.0814708625611947,3460,0.0007030212086716666,-0.012429909723124579
2012-04,-0.04674298088770659,3453,-0.00010035609452238234,-0.01162653241993053
2012-05,0.10251717329227125,3447,0.001059892031732776,-0.012786780546185688
2012-06,-0.03128101276716003,3438,-0.00012263097684766903,-0.011604257537605243
2012-07,-0.0942061331019224,3425,-0.0004357570392229098,-0.011291131475230002
2012-08,-0.005796602465850807,3422,-1.2419060376514177e-05,-0.011714469454076398
2012-09,0.006460264890353281,3409,0.00017647332577276284,-0.011903361840225675
2012-10,0.010651035750252696,3387,0.0005994821170634372,-0.01232637063151635
2012-11,0.19021984187921467,3379,0.0017299477228505146,-0.013456836237303427
2012-12,-0.03178134349450778,3365,3.0146203948340847e-05,-0.011757034718401253
2013-01,0.03698854981303407,3364,0.0001256059027272098,-0.011852494417180122
2013-02,-0.16590091937846538,3355,-0.0013922609182489692,-0.010334627596203943
2013-03,0.05489714026299769,3357,0.000528091032436619,-0.012254979546889531
2013-04,0.08983697059521063,3353,0.0008886530751813192,-0.012615541589634231
2013-05,0.11663980423434017,3351,0.0009486050059584403,-0.012675493520411352
2013-06,-0.0875520680387154,3347,-0.0006410452871291935,-0.011085843227323719
2013-07,0.05708700055674945,3331,0.00037252575083136785,-0.01209941426528428
2013-08,-0.03431537914136326,3332,-0.0002731785241209435,-0.011453709990331969
2013-09,-0.0830387899647268,3328,-0.00013078507151951906,-0.011596103442933393
2013-10,0.006858788973160307,3314,6.692377533363929e-05,-0.011793812289786551
2013-11,-0.0700104765879134,3311,-0.00047490250089471386,-0.011251986013558198
2013-12,-0.06424094430134447,3304,-0.00022087884165115576,-0.011506009672801756
2014-01,-0.010196529125094543,3302,-5.2712129690693846e-05,-0.011674176384762218
2014-02,0.0158341897958441,3286,5.0260262593542285e-05,-0.011777148777046454
2014-03,-0.0008629042650165767,3287,-0.00019449797911213,-0.011532390535340782
2014-04,0.07263623490198619,3285,0.0006650725260170676,-0.01239196104046998
2014-05,-0.16527755004104122,3289,-0.0013130024681250949,-0.010413886046327817
2014-06,0.044534821973197816,3304,0.00043416935286431403,-0.012161057867317226
2014-07,-0.010538437637922967,3308,-9.868341799725185e-05,-0.01162820509645566
2014-08,0.0443818555128025,3314,0.00029577471825991374,-0.012022663232712826
2014-09,0.003137577204436964,3320,0.00020361707234978384,-0.011930505586802696
2014-10,0.03448321992702413,3329,0.001351859474481588,-0.0130787479889345
2014-11,0.008645559612852016,3333,0.00015219542776505682,-0.011879083942217969
2014-12,-0.048210843661465,3339,-0.0008916859524644299,-0.010835202561988482
2015-01,-0.08723344245987424,3335,-0.0003026051601970701,-0.011424283354255842
2015-02,0.054846374545382784,3338,2.4017202333763768e-05,-0.011750905716786676
2015-03,0.1421823680742577,3343,0.0005951790962574321,-0.012322067610710344
2015-04,0.034999171420314744,3363,0.00020278309490878374,-0.011929671609361696
2015-05,0.02672787710760149,3378,0.00010769419200414715,-0.01183458270645706
2015-06,0.1195223594102165,3385,0.00046595124203936515,-0.012192839756492277
2015-07,-0.06497819635296367,3386,-1.721195323719886e-05,-0.011709676561215713
2015-08,0.07558492904598701,3408,1.871391174381419e-05,-0.011745602426196726
2015-09,-0.13557492515162578,3415,-0.0010652004931691085,-0.010661688021283804
2015-10,0.2791898298769776,3398,0.0006204249203045561,-0.012347313434757468
2015-11,0.016468511518574102,3415,4.9109882995748005e-05,-0.01177599839744866
2015-12,0.11334632738342025,3417,0.00011643555916091702,-0.01184332407361383
2016-01,-0.012629477191046514,3408,-0.00030771766912714854,-0.011419170845325764
2016-02,0.16148088028017682,3397,0.0001167408721934448,-0.011843629386646357
2016-03,0.08728447282222444,3394,9.837121475315264e-05,-0.011825259729206065
2016-04,-0.03737391403867593,3385,-0.0005649512766609278,-0.011161937237791984
2016-05,-0.06126110857471752,3373,-0.00025106478705894456,-0.011475823727393968
2016-06,0.018126455960475945,3376,-0.0001944517411548441,-0.011532436773298068
2016-07,-0.13462158725153026,3379,-0.0004575740346860688,-0.011269314479766843
2016-08,-0.023714545122813686,3390,0.00037369440905427216,-0.012100582923507184
2016-09,0.026637870550188267,3377,-9.233247306805054e-05,-0.011634556041384862
2016-10,-0.07071399743879793,3367,-0.000298442639238259,-0.011428445875214653
2016-11,-0.015266718325518767,3363,0.00020805824267664322,-0.011934946757129555
2016-12,-0.1076475067904463,3362,-0.000298795191853626,-0.011428093322599286
2017-01,-0.01894543281876671,3355,-0.00020384234539754832,-0.011523046169055364
2017-02,-0.027733347482822128,3336,-6.414140409916579e-05,-0.011662747110353746
2017-03,-0.11144096639808813,3323,-0.0003075471432214885,-0.011419341371231424
2017-04,0.09456677998304053,3311,0.000293104285953338,-0.01201999280040625
2017-05,-0.1251028838905607,3305,-0.0004957073132641713,-0.01123118120118874
2017-06,0.06433689483457695,3300,0.0004162446988883288,-0.012143133213341241
2017-07,0.021974756590286026,3300,-0.00031053906551635826,-0.011416349448936554
2017-08,0.05728661002354759,3304,0.00022817364796814607,-0.011955062162421058
2017-09,-0.01675133615081694,3293,0.0001514776387995711,-0.011878366153252483
2017-10,0.08955757393914984,3279,0.00031288922076564904,-0.012039777735218561
2017-11,-0.14311511912185085,3278,-0.00044336384254734136,-0.01128352467190557
2017-12,0.1704675430123905,3264,0.0009039475174977187,-0.01263083603195063
2018-01,-0.11049921647615316,3258,-0.00036198077080285516,-0.011364907743650057
2018-02,-0.03982759340213327,3253,6.106550083197215e-05,-0.011787954015284884
2018-03,-0.11060741862055767,3245,-0.0006945722446841229,-0.01103231626976879
2018-04,-0.09797577605241467,3241,-0.00037122479809549407,-0.011355663716357418
2018-05,0.11396282773423708,3257,0.000546757580433618,-0.01227364609488653
2018-06,-0.05606511008882763,3255,-0.0003998148408167444,-0.011327073673636168
2018-07,0.10613517644287883,3263,0.000564664262491214,-0.012291552776944126
2018-08,0.00702984334470391,3262,0.00045131487577862277,-0.012178203390231535
2018-09,0.030748962371166005,3267,0.000255414943277436,-0.011982303457730348
2018-10,-0.016409122781780163,3252,0.00013144559112609339,-0.011858334105579005
2018-11,0.023685301129469715,3258,0.0003748561201532101,-0.012101744634606122
2018-12,-0.024042666444873753,3264,4.198298091608911e-05,-0.011768871495369001
2019-01,-0.1236713731530088,3254,-0.0006134753226766584,-0.011113413191776254
2019-02,0.06003883840445298,3251,0.0012119510871975454,-0.012938839601650457
2019-03,-0.007397840078327605,3244,0.00019176871324466313,-0.011918657227697575
2019-04,-0.04032193692089488,3246,0.0001027813287795016,-0.011829669843232414
2019-05,0.046554658982066385,3253,0.0004277444097523595,-0.012154632924205272
2019-06,-0.06727715586542447,3265,-0.00048267144297320895,-0.011244217071479703
2019-07,0.1029169871409016,3281,0.0008132239213356259,-0.012540112435788538
2019-08,-0.02662797890294535,3285,-0.00012495599647212308,-0.011601932517980789
2019-09,0.014422256351603364,3277,5.402571693001804e-06,-0.011732291086145914
2019-10,-0.028989294138020046,3280,-0.0006679544990320866,-0.011058934015420826
2019-11,0.0008473001627436108,3281,-0.0003014803203521092,-0.011425408194100803
2019-12,-0.04468366230699982,3268,-1.2489035817717792e-05,-0.011714399478635194
2020-01,0.01649756640548496,3264,-0.0001228593262379528,-0.01160402918821496
2020-02,0.0993267487937578,3257,0.00021198301751441072,-0.011938871531967323
2020-03,0.008760944659054262,3265,0.0005704661343879369,-0.012297354648840849
2020-04,0.20787910578099142,3255,0.0013465325856887693,-0.013073421100141681
2020-05,0.1597469761585513,3268,0.00039336875281691455,-0.012120257267269827
2020-06,-0.050188758636206886,3276,0.0008449737162919413,-0.012571862230744853
2020-07,-0.06840495721489684,3278,-3.4769616024641486e-05,-0.01169211889842827
2020-08,-0.07745046490400581,3288,-0.0004447197651703573,-0.011282168749282555
2020-09,0.07480155156706707,3284,0.0005429693846368561,-0.012269857899089768
2020-10,-0.0018063459215560615,3284,8.140677964304198e-05,-0.011808295294095954
