permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
10002,0.12759508622547494,57.15620301632653,3.960934581040454,0.4300533100128287,-0.43548756796447935,-0.017025234897959186,1,6020,49,US-AL,0.057156203016326526,FIRE,Q1 micro
10025,0.525749967049873,269.47883375,5.505809764829773,-0.1695191296718799,0.446447251801609,0.02824620833333333,2,3081,96,US-NJ,0.26947883375,Manufacturing,Q3
10026,0.5521783945919255,2064.1715248169444,7.517885732404833,-0.7275663036520582,0.20547669520684061,0.01154027777777778,2,2052,180,US-NJ,2.0641715248169445,Manufacturing,Q4
10028,0.026040959922128768,58.31492016623121,3.593034366253055,0.7093154910748732,0.5143392270890109,0.025042693872832356,1,5094,173,US-TX,0.05831492016623121,WholesaleTrade,Q1 micro
10032,0.7208244719583891,1660.815616763889,7.348169106797005,-0.5713421623833024,0.06713144975197236,0.015068433333333334,3,3670,180,US-WI,1.660815616763889,Manufacturing,Q4
10044,0.16271716077096443,56.02117615666667,3.9747614784088268,-0.4297719625362181,-0.06793117983858508,0.005959111111111111,1,2060,180,US-CO,0.05602117615666667,Manufacturing,Q1 micro
10051,0.5980532208302217,771.4871389344262,6.603904099104777,-0.32468527312470635,-0.0545281712296279,0.004290666885245904,2,3842,122,US-TX,0.7714871389344262,Manufacturing,Q4
10066,0.028546340559946745,42.26356826666667,3.727035840407335,-0.1427495325933671,-0.10980108701715166,-0.000827666666666667,1,7373,21,US-CA,0.04226356826666667,Services,Q1 micro
10078,0.5773169623638594,6079.94858,8.681044696946925,-0.2897328712172386,-0.0049081730815327225,0.08865341666666667,2,3571,12,US-TX,6.07994858,Manufacturing,Q5 mega
10092,0.4321963911093759,19.17069301176471,2.924765589877098,0.6189164340228285,-1.1507056704470424,-0.038423529411764704,2,7922,17,US-NY,0.01917069301176471,Services,Q1 micro
10100,0.007644970506014208,6.45493769042,1.764468566002366,2.9940793824913565,0.3804327215478102,0.0062316675999999896,1,8300,50,US-NY,0.006454937690420001,Services,Q1 micro
10107,0.5016131127688046,122392.61198585352,11.619317401491008,-0.8117197370865087,0.2922515744989851,0.020272961111111112,2,7370,180,US-WA,122.39261198585352,Services,Q5 mega
10116,0.06652351261215897,105.64937775389475,4.3492376678100655,1.066855653546354,-0.7621336905938787,-0.02537962989473684,1,2834,95,US-IL,0.10564937775389475,Manufacturing,Q2
10137,0.5789797291339281,4058.1728736,8.303385945027612,-0.7726331853444829,-0.48704106238126654,-0.004753840000000001,2,4911,25,US-PA,4.0581728736,Transp/Util,Q5 mega
10138,0.5391720275392307,22062.949864521168,9.936745555882185,-0.8475895882797643,0.03882216855142891,0.011847449999999999,2,6211,180,US-MD,22.06294986452117,FIRE,Q5 mega
10143,0.7738018464671775,2235.4190211764703,7.682694970870911,-0.35636510280755535,0.1453897112631632,0.034138980588235245,3,2830,17,US-NY,2.23541902117647,Manufacturing,Q4
10145,0.5586258211151093,87520.50102056628,11.25622499575199,-0.9341551660195233,0.14131307755310418,0.01433498888888889,2,3724,180,US-NC,87.52050102056629,Manufacturing,Q5 mega
10147,0.6175572914833904,48047.35505065218,10.754134269441536,-0.7565300387707785,0.019853140863087034,0.014008978260869566,3,3572,92,US-MA,48.04735505065218,Manufacturing,Q5 mega
10158,0.3830769137639481,704.5161259060402,6.089030247839039,0.014213601569797158,0.11431739475120137,0.014855814228187917,2,9611,149,US-MA,0.7045161259060402,Public,Q3
10163,0.6758987708480368,290.02716887500003,5.567597590306167,-0.15190811132718193,0.22520049479329068,0.0418858,3,3860,40,US-MI,0.290027168875,Manufacturing,Q3
10180,0.5289331236052328,1882.0422584686132,6.958080472853539,0.47388804853825794,0.34669505609593115,0.005704708102189789,2,2834,137,US-IL,1.8820422584686132,Manufacturing,Q4
10182,0.7290774445157049,2600.100232210292,7.809218347520041,-0.5777294551084634,0.1356242046871932,0.01850716788321168,3,5040,137,US-FL,2.6001002322102917,WholesaleTrade,Q4
10200,0.6141661520746653,3361.4894050032226,7.001510303030092,-0.05046522097464828,0.5420546238005759,0.029412249999999997,3,2830,180,US-MA,3.3614894050032227,Manufacturing,Q5 mega
10205,0.2735302119050106,57.97454843478261,4.007971268536684,-0.02454323774722866,0.1801473308043119,0.048555697391304345,1,6035,23,US-MA,0.05797454843478261,FIRE,Q1 micro
10220,0.4932466444168361,4532.4807205405405,8.380278549542146,-0.6871526066193092,0.17814714201970486,0.013744817567567567,2,1731,148,US-VA,4.532480720540541,Construction,Q5 mega
10232,0.01960131429569792,51.01256908125,3.887439404662394,-0.22636152185923136,0.025769188467350528,0.0106931433125,1,6030,160,US-NY,0.05101256908125,FIRE,Q1 micro
10239,0.45189432653550454,271.0701066442953,5.585058710668217,-0.5752353371371178,-0.11869274418503557,0.008108711409395973,2,6330,149,US-IN,0.2710701066442953,FIRE,Q3
10252,0.5907554220968231,1620.0227369444444,7.163040810503887,-0.6479828915859092,0.08684668314396017,0.011065183333333332,2,6020,180,US-MA,1.6200227369444444,FIRE,Q4
10253,0.011676571627135217,39.17834892488889,3.405357717165862,1.1741763394628828,-0.6751784670621973,-0.018147370888888875,1,7334,180,US-NY,0.03917834892488889,Services,Q1 micro
