size,io,coef,se,t,n
1,1,-0.006252041844039449,0.017777017551256873,-0.3516923930582167,97658
1,2,-0.04999998307037028,0.03548379597119777,-1.4090934101569998,30053
1,3,0.021201535687617193,0.05670639556540146,0.37388261899250363,5607
2,1,-0.07246276945442655,0.025833197423602103,-2.805025187792745,35173
2,2,-0.026953503322783855,0.020256902561539787,-1.3305836487538023,68373
2,3,-0.038454298558739,0.03336501745204671,-1.152533446565906,53771
3,1,-0.06396937853016291,0.028024988529566003,-2.2825835758211297,12158
3,2,-0.034717385279168345,0.026956070764863137,-1.2879245488708975,93163
3,3,5.649391523925592e-05,0.02638128662593354,0.002141438969232108,123006
