ym,slope,se_hc1,se_state,n,n_states
2009-01,0.20397309448939907,0.21467162948796112,0.16741157734047155,4030,51
2009-02,0.3175640022327432,0.19056166703180408,0.16803174425455633,4013,51
2009-03,-0.6547549605875711,0.23056376831357855,0.1399394280926119,3997,51
2009-04,0.7804533439526561,0.20031932128752106,0.2973015287506543,3979,51
2009-05,0.09875296981923407,0.22034703226518523,0.156249219168858,3960,51
2009-06,-0.30172225730126856,0.14460024354461473,0.19005342690086158,3938,51
2009-07,-0.09286385806767185,0.11671216196681104,0.10188243760916964,3920,51
2009-08,0.1812842176769753,0.1394791156700992,0.1270196318628257,3903,51
2009-09,-0.146936784044959,0.10619483528623258,0.07796790589209693,3890,51
2009-10,-0.10338013379358438,0.08031405365483113,0.06571933045993672,3864,51
2009-11,0.0745784079285761,0.12410472606958325,0.06996309640460215,3831,51
2009-12,0.1317519360259165,0.08596881586430233,0.06519156704619712,3811,51
2010-01,-0.1953070042388696,0.06264977881452705,0.047020040049217025,3791,51
2010-02,-0.12022029896620036,0.08055606816107438,0.07198139183773108,3771,51
2010-03,0.03778242121077334,0.062268593464527296,0.11439372401608948,3748,51
2010-04,-0.054937884461396816,0.11343695463300163,0.11664626895560136,3723,51
2010-05,-0.07749128091932733,0.06699923663425816,0.03137188997893491,3713,51
2010-06,0.025809337922937513,0.06101340180021114,0.05362312490035617,3703,51
2010-07,-0.10790580364247553,0.09017602015946652,0.09884676723709059,3664,51
2010-08,0.0006932234560872424,0.07343044870901805,0.06328282927992454,3652,51
2010-09,-0.024699386121663357,0.08753638308308566,0.0698461915265318,3637,51
2010-10,0.08557676977099941,0.07945040086550588,0.055458066327722016,3621,51
2010-11,-0.022573927263264394,0.09670573589435429,0.09533832848706827,3609,51
2010-12,-0.047485009861607634,0.08521278594452071,0.09001266226638426,3588,51
2011-01,0.03690943853246288,0.07077268017436467,0.07126659905883476,3578,51
2011-02,-0.0823445998049025,0.08211304460322008,0.0879744384293534,3571,51
2011-03,-0.13479873883307492,0.07694585345871979,0.06626939628144721,3562,51
2011-04,0.04778418940105086,0.07747997916466898,0.09410772567685557,3545,51
2011-05,-0.233689261908073,0.06513417266642227,0.047594019882571684,3535,51
2011-06,0.005090573081811987,0.0601207286609812,0.07137706073812329,3517,51
2011-07,-0.1684258891912187,0.07110808233333557,0.09570421457683424,3506,51
2011-08,0.08742313470329176,0.07684053973330453,0.061811447357242734,3511,51
2011-09,-0.0788515506366189,0.06941378644720717,0.06119315358416042,3508,51
2011-10,-0.08712348445895343,0.1036956147658496,0.0801288488876228,3495,51
2011-11,0.003533635181297501,0.09412157635390614,0.057562953166064544,3480,51
2011-12,0.006684074896134616,0.09295862904901385,0.05504796972502107,3474,51
2012-01,0.006634214962438951,0.06222186342269421,0.04722349841638331,3467,51
2012-02,0.059819216580970544,0.06346212282957864,0.062147318688990344,3460,51
2012-03,-0.0052813024878995965,0.060227052709923,0.09177675676248945,3460,51
2012-04,-0.05430856054504866,0.05345151049176725,0.03882424468110692,3453,51
2012-05,0.10429749395951571,0.05874962862031913,0.032818663379980864,3447,51
2012-06,-0.03551798742832107,0.05823315475053988,0.043918711403388204,3438,51
2012-07,-0.10317914184087258,0.060495819225612396,0.05099881953049831,3425,51
2012-08,-0.01496308990585833,0.06231116192938392,0.05279653994670779,3422,51
2012-09,0.013025615606245126,0.047827179385997225,0.031947979734022705,3409,51
2012-10,0.011707384154407934,0.05009029743253615,0.055919845110442505,3387,51
2012-11,0.18847312522038503,0.056492193711877504,0.04572225497277369,3379,51
2012-12,-0.029774476545807144,0.041021544408944254,0.03495940318929973,3365,51
2013-01,0.034523408124769644,0.052662999956288835,0.050396807252611725,3364,51
2013-02,-0.15950917093710584,0.04686660712806437,0.044249322953403156,3355,51
