hq_state,coef_pre,se_pre,n_pre,n_firms_pre,coef_post,se_post,n_post,n_firms_post,state,pass3_panel_mean_pct,diff,se_diff
US-MS,-0.8557346085435971,0.5970962037158812,360.0,5.0,5.218808101558336,1.1332558049141241,540.0,5.0,MS,20.62393938684535,6.074542710101933,1.2809342668003993
US-NC,0.02175129275392711,0.22688790867878197,2272.0,38.0,0.3452290624507012,0.10365676338425298,2784.0,39.0,NC,24.30672992775761,0.32347776969677405,0.24944507952639658
US-NE,-2.7882946066371814,1.2709786096254518,521.0,9.0,-1.0908779798640422,0.47107898238838447,674.0,8.0,NE,25.333220310510807,1.6974166267731392,1.3554711482630393
US-NJ,-1.4899028389956224,0.6758446421447419,3195.0,57.0,-0.1339770189449186,0.12373758326246977,4384.0,54.0,NJ,26.563780394298654,1.3559258200507038,0.6870785761667955
US-NV,0.16236098691970174,0.1410500082850196,844.0,15.0,-0.3537376279929823,0.2384821566377716,1335.0,16.0,NV,24.742373894877847,-0.516098614912684,0.27707191101193696
US-NY,-0.7079621179632077,0.3290808284480861,6519.0,124.0,-0.1143824426030244,0.16397778122215434,9685.0,147.0,NY,24.86469021663052,0.5935796753601833,0.36767227851256257
US-OH,0.03463360856315436,0.26233794255899473,3440.0,53.0,0.021252039636302497,0.07050347859059541,5037.0,54.0,OH,21.032100687305448,-0.013381568926851863,0.2716467128449394
US-OK,1.0295820346585254,0.4201689848455782,563.0,9.0,-0.14246484208346752,0.24480697998704118,836.0,10.0,OK,21.95089544757035,-1.172046876741993,0.4862843132124861
US-OR,-1.3394459474715155,0.412247194659475,793.0,14.0,1.649727110985122,0.7100519158737831,455.0,10.0,OR,22.8832262678608,2.9891730584566374,0.8210490075145558
US-PA,-1.1600022605949847,0.4814807158053971,3548.0,65.0,-0.3307720533634878,0.19282228173447444,4679.0,63.0,PA,24.89168489595998,0.8292302072314969,0.518656063326909
US-RI,0.13483417551503726,0.17712379989695357,596.0,9.0,0.17073382029119386,0.11949689229427123,737.0,7.0,RI,25.23570222258844,0.03589964477615659,0.2136641003021441
US-SC,0.0787647990872593,0.41403356675901887,474.0,8.0,0.31453893659974164,0.1823885082962316,480.0,5.0,SC,23.50781183186948,0.23577413751248233,0.45242608497048387
US-TN,-0.15612878930890242,0.43242070180369985,1036.0,17.0,-0.1468685325076167,0.32824814504436284,1587.0,21.0,TN,22.209684472692054,0.009260256801285727,0.5428945644169495
US-TX,-0.05559507684629605,0.12798332447150448,7936.0,150.0,0.12074776472919128,0.09897230800252185,10067.0,142.0,TX,21.37668085863281,0.17634284157548732,0.16178766669349195
US-UT,0.19423757122765406,0.05768997952473355,760.0,14.0,-0.3803612926005143,0.08379999911119476,1064.0,20.0,UT,25.250032227834467,-0.5745988638281684,0.10173776874199875
US-VA,-0.4351529611268336,0.7055302644234275,1909.0,36.0,-0.028770655679068582,0.07103116277319341,2773.0,38.0,VA,24.957974039131283,0.40638230544776505,0.7090968763873547
US-WA,-0.165246041340402,0.2718411164060143,1781.0,31.0,-0.18149843699990617,0.07716409098236185,2390.0,34.0,WA,25.10560314164316,-0.016252395659504176,0.28258076634123996
US-WI,0.5243635157905612,0.5567943657844303,1196.0,18.0,-0.08202491170362751,0.3015874623181158,1737.0,20.0,WI,25.369873833852903,-0.6063884274941886,0.6332258390154076
