state,pass3_panel_mean,pass3_panel_mean_shrunk,pass3_panel_mean_pct,pass3_panel_mean_shrunk_pct
HI,0.28042746543064717,0.25728215474953436,28.042746543064716,25.728215474953437
MN,0.2802624226394505,0.2567831314510294,28.02624226394505,25.678313145102937
NH,0.2736394889535764,0.25576502018360364,27.36394889535764,25.576502018360365
DC,0.2732464849610007,0.2562769213602796,27.324648496100068,25.627692136027957
CT,0.26813507980346835,0.25157094546733105,26.813507980346834,25.157094546733106
NJ,0.26563780394298653,0.25332716027219204,26.563780394298654,25.332716027219206
SD,0.2644097491165612,0.2509983861857535,26.440974911656117,25.099838618575347
DE,0.25826599208970197,0.2491628103701005,25.826599208970197,24.916281037010048
MD,0.2569941241694158,0.24854761014806617,25.69941241694158,24.854761014806616
WI,0.253698738338529,0.24640178867052295,25.369873833852903,24.640178867052295
NE,0.25333220310510807,0.24727204777400888,25.333220310510807,24.72720477740089
UT,0.2525003222783447,0.2481349381368235,25.250032227834467,24.81349381368235
RI,0.2523570222258844,0.24840617488238131,25.23570222258844,24.84061748823813
ME,0.25174364834811197,0.2459604172536454,25.174364834811197,24.59604172536454
WA,0.25105603141643157,0.2421905979428675,25.105603141643158,24.21905979428675
CA,0.25056977498039695,0.24384241525222078,25.056977498039696,24.384241525222077
MA,0.24974790680746348,0.24688169107763605,24.97479068074635,24.688169107763606
VA,0.24957974039131284,0.24385004519670941,24.957974039131283,24.385004519670943
PA,0.24891684895959978,0.24615350964014893,24.89168489595998,24.615350964014894
NY,0.24864690216630522,0.24542445500762064,24.86469021663052,24.542445500762064
MO,0.24811136951232224,0.24186525791531135,24.811136951232225,24.186525791531135
ND,0.24800473619195856,0.24518955519047717,24.800473619195856,24.518955519047715
MT,0.24767419293680112,0.24563369586139167,24.767419293680113,24.563369586139167
NV,0.24742373894877848,0.24324007584125198,24.742373894877847,24.324007584125198
WY,0.2459975302089125,0.24449794098491845,24.59975302089125,24.449794098491846
AZ,0.24574494943387243,0.24355617376459504,24.574494943387243,24.355617376459506
IA,0.24459562829190323,0.24395919898873106,24.45956282919032,24.395919898873107
CO,0.24354474163275402,0.24326496970460018,24.354474163275402,24.326496970460017
NC,0.24306729927757612,0.24361922749042764,24.306729927757612,24.361922749042762
AK,0.24192542791982283,0.24315582659691581,24.192542791982284,24.315582659691582
VT,0.24135603132040548,0.24026686202658504,24.135603132040547,24.026686202658503
NM,0.24014013436817885,0.24233531999091706,24.014013436817887,24.233531999091706
IL,0.24004669532871908,0.2421582562434729,24.004669532871908,24.21582562434729
MI,0.23764486799568577,0.23929775659191194,23.764486799568576,23.929775659191193
KS,0.23751544250403192,0.24029745670335234,23.751544250403192,24.029745670335235
GA,0.23658565659179717,0.23984398193520787,23.658565659179718,23.984398193520786
ID,0.23531476844238222,0.23769898455219035,23.531476844238224,23.769898455219035
AL,0.23525062218173803,0.23740065404420313,23.525062218173804,23.740065404420314
SC,0.2350781183186948,0.2383633465596515,23.50781183186948,23.83633465596515
IN,0.2347122398315705,0.23996316785273408,23.47122398315705,23.996316785273407
FL,0.23026720880630838,0.23591140878093994,23.026720880630837,23.591140878093995
OR,0.22883226267860798,0.231519942662313,22.8832262678608,23.1519942662313
KY,0.22508371391385604,0.23210637099018022,22.508371391385605,23.210637099018022
TN,0.22209684472692054,0.23384128972336163,22.209684472692054,23.384128972336164
OK,0.21950895447570348,0.2334080777097218,21.95089544757035,23.34080777097218
LA,0.21520574256932412,0.22799424058291415,21.520574256932413,22.799424058291414
WV,0.21394698353269967,0.22722131246112165,21.394698353269966,22.722131246112166
TX,0.21376680858632807,0.2296308523031753,21.376680858632806,22.963085230317528
AR,0.2124467579406488,0.2293811309419131,21.24467579406488,22.93811309419131
OH,0.2103210068730545,0.2265862688676609,21.032100687305448,22.65862688676609
MS,0.2062393938684535,0.22502180535008276,20.62393938684535,22.502180535008275
