hq_state,coef,se,n,n_firms,t,state,pass3_panel_mean_pct,coef_shrunk,shrink_weight
US-AK,,,330.0,2.0,,AK,24.192542791982284,,
US-AL,-0.4773909397388829,0.6637537480304885,470.0,6.0,-0.7192289929140329,AL,23.525062218173804,-0.1723489276836602,0.7390271640919016
US-AR,0.07812692537804528,0.06192487164711883,1064.0,6.0,1.2616404895153348,AR,21.24467579406488,0.07469291237083077,0.02405507224160317
US-AZ,-0.17914148539115543,0.2049955012972974,1964.0,20.0,-0.8738800815504393,AZ,24.574494943387243,-0.15478861977180514,0.21266628090230894
US-CA,-0.03466468017272154,0.06457901666416638,32301.0,429.0,-0.5367793125898785,CA,25.056977498039696,-0.03544694773582496,0.026106312392926365
US-CO,-0.030229808840021025,0.06670159959305604,3587.0,37.0,-0.453209653508341,CO,24.3544741632754,-0.031186190387490986,0.027802143541185313
US-CT,0.26088468955457167,0.19250660903249533,2877.0,30.0,1.3551986130020817,CT,26.813507980346834,0.1982635108073222,0.1923762640586012
US-DC,1.4650629670537805,0.1332398067241628,479.0,4.0,10.99568517152535,DC,27.324648496100068,1.3083894468567383,0.10242158920707073
US-DE,0.06923546646995804,0.2724897403423785,802.0,10.0,0.25408467263011414,DE,25.8265992089702,0.025987850433187135,0.3230692768690438
US-FL,0.24511550668231735,0.07569954004423,6845.0,76.0,3.2380052314597996,FL,23.02672088063084,0.23411195448028255,0.035524565593057535
US-GA,0.008493203379892166,0.1564232285824301,4868.0,47.0,0.05429630533048687,GA,23.65856565917972,-0.0014441180811089385,0.13589950341052093
US-HI,0.351784477964332,0.2012450751019614,597.0,4.0,1.748040183274544,HI,28.04274654306472,0.2657748243666074,0.2065484948238938
US-IA,-0.15152021268576832,0.059626347277890596,1176.0,7.0,-2.5411620802395167,IA,24.45956282919032,-0.1495789305016734,0.02234162004193806
US-ID,-1.1179410629642041,0.3222212900011623,665.0,6.0,-3.469482301930365,ID,23.531476844238224,-0.6963539289159316,0.4002491731681087
US-IL,-0.01958604801719038,0.15040663572403,7779.0,65.0,-0.13022063769265718,IL,24.004669532871908,-0.025304200423608328,0.12694783838006374
US-IN,0.07803054601778535,0.07680104749900772,3854.0,28.0,1.0160088769465483,IN,23.47122398315705,0.07281948060629129,0.03652788774424013
US-KS,-0.20661600857543838,0.20896339840812056,827.0,7.0,-0.9887665024087254,KS,23.751544250403192,-0.1754986460455949,0.21915697789316205
US-KY,-0.11337416212614182,0.31883397499793775,1069.0,9.0,-0.35558996536324317,KY,22.508371391385605,-0.09411088685832343,0.39518632811143545
US-LA,0.2243871484538753,0.2173825990147117,1195.0,13.0,1.0322222177437925,LA,21.520574256932413,0.15705342072317846,0.23297536073095437
US-MA,-0.01078605040296851,0.0737108410673798,11943.0,155.0,-0.14632922710933222,MA,24.97479068074635,-0.012602977789822892,0.03374471313980075
US-MD,-0.07864349584327082,0.09439872971578138,3164.0,34.0,-0.8330990902107803,MD,25.69941241694158,-0.07788428837766267,0.05417444471811036
US-ME,-0.5187522187776313,0.14531924841453805,383.0,3.0,-3.569741960802312,ME,25.1743648348112,-0.46447806149519527,0.11951426243582164
US-MI,-0.1536995227949,0.20614507446363173,3151.0,35.0,-0.7455891109443694,MI,23.764486799568576,-0.13458996833043035,0.2145449844272165
US-MN,-0.05511615760692469,0.09058909513610246,5387.0,46.0,-0.6084193414683889,MN,28.02624226394505,-0.05559281452882714,0.05010472630708536
US-MO,-0.3514018502250608,0.21552355721870867,3288.0,30.0,-1.6304568037008864,MO,24.811136951232225,-0.28546715549811674,0.22991988199412203
US-MS,0.4357292076174391,0.5599174131210414,900.0,5.0,0.7782026374008204,MS,20.62393938684535,0.10132090550267149,0.6683373021372058
US-MT,-0.5900316700099892,0.1960834063237321,503.0,5.0,-3.009085169786635,MT,24.767419293680117,-0.4859170788727393,0.1981616586166741
US-NC,0.21481353982599777,0.07958153277043306,5056.0,46.0,2.6992887966315657,NC,24.30672992775761,0.20388303843584796,0.039115329075263994
US-ND,,,360.0,2.0,,ND,24.800473619195856,,
US-NE,-1.253906775845226,0.17540013629371967,1195.0,9.0,-7.148835812450409,NE,25.333220310510807,-1.0575576934208255,0.1650994810132589
US-NH,-1.3961813140063728,0.07355516961300645,352.0,5.0,-18.981416552392695,NH,27.36394889535764,-1.3514316928826917,0.03360711637095072
US-NJ,-0.12544644121100135,0.10319535958142873,7579.0,68.0,-1.215620951560471,NJ,26.563780394298654,-0.12155022647349416,0.06406449182386316
US-NV,0.011454753192847281,0.08254254460183429,2179.0,19.0,0.13877392862192828,NV,24.742373894877847,0.008262580317909147,0.0419558342183085
US-NY,-0.19258846048130382,0.1665953751820207,16204.0,186.0,-1.1560252514265976,NY,24.86469021663052,-0.173217189490304,0.15138643901324011
US-OH,0.008009984520027222,0.068435160004992,8477.0,61.0,0.11704487166308859,OH,21.032100687305448,0.00588722387705721,0.02922328600138424
US-OK,-0.04209763478321583,0.17460360774465356,1399.0,12.0,-0.24110403746514153,OK,21.95089544757035,-0.04578942624233507,0.1638485168862493
US-OR,0.044226981374620195,0.21196478239545943,1248.0,15.0,0.20865249818767817,OR,22.8832262678608,0.019834781555057978,0.22407695488735646
US-PA,-0.18318370644042345,0.12574715257652785,8227.0,82.0,-1.4567622621032357,PA,24.89168489595998,-0.17224598704081268,0.0922591257506727
US-RI,0.0853503908798502,0.1874942164309255,1333.0,9.0,0.45521612615338475,RI,25.23570222258844,0.05770745938299281,0.1843110781488164
US-SC,0.11098086531747428,0.120090416670546,954.0,8.0,0.9241442272778293,SC,23.50781183186948,0.09608321691927207,0.08483359947499233
US-SD,-0.8089347843447151,0.3408754031989749,650.0,5.0,-2.3731098716809607,SD,26.44097491165612,-0.4907098979153955,0.4275461127319535
US-TN,0.17072346758718845,0.20149908527100854,2623.0,25.0,0.8472667126879109,TN,22.209684472692054,0.12201431418624333,0.2069622521796889
US-TX,-0.01960191321338225,0.07067671287817794,18003.0,191.0,-0.27734613587885915,TX,21.37668085863281,-0.021002649503385828,0.031108491982229654
US-UT,0.04167067952233525,0.054676460557390144,1824.0,22.0,0.7621319869196065,UT,25.250032227834467,0.03966657967623524,0.018853235234502604
US-VA,-0.015822814522514897,0.07019484994880948,4682.0,48.0,-0.2254127551245411,VA,24.957974039131283,-0.01732111379160347,0.030698729771154593
US-VT,,,41.0,1.0,,VT,24.135603132040547,,
US-WA,-0.07214199444198789,0.06247031462825466,4171.0,46.0,-1.154820411443211,WA,25.10560314164316,-0.07195815839578407,0.024470284216908642
US-WI,-0.1994575900242056,0.358040522599973,2933.0,21.0,-0.5570810493064023,WI,25.369873833852903,-0.13854925182752956,0.45174770054708924
US-WV,-0.29486886232125453,0.1336014888940712,608.0,4.0,-2.207077666290438,WV,21.39469835326997,-0.2711723633444955,0.10292108784707009
US-WY,,,23.0,2.0,,WY,24.59975302089125,,
